Country,Year,Exchange_Rate
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.714285999714286
South Africa,,0.7152169163214288
South Africa,,0.768725237196027
South Africa,,0.6939590980210925
South Africa,,0.6794770035702512
South Africa,,0.739507755296336
South Africa,,0.869565218147448
South Africa,,0.869565218147448
South Africa,,0.869565218147448
South Africa,,0.8420226019349432
South Africa,,0.7788337372760415
South Africa,,0.8775789427581535
South Africa,,1.085815833083333
South Africa,,1.11409999975
South Africa,,1.47527749975
South Africa,,2.228674999416667
South Africa,,2.285031666416667
South Africa,,2.036033333333334
South Africa,,2.2734675
South Africa,,2.6226775
South Africa,,2.587320833333332
South Africa,,2.761315
South Africa,,2.852014166666668
South Africa,,3.267741583333332
South Africa,,3.550798333333335
South Africa,,3.627085
South Africa,,4.299349166666668
South Africa,,4.607961666666668
South Africa,,5.528284166666668
South Africa,,6.109484166666668
South Africa,,6.939828333333332
South Africa,,8.609180833333335
South Africa,,10.54074666666666
South Africa,,7.564749166666665
South Africa,,6.4596925
South Africa,,6.359328333333332
South Africa,,6.771549166666668
South Africa,,7.045365000000002
South Africa,,8.261223333333332
South Africa,,8.47367415824888
South Africa,,7.32122196115288
South Africa,,7.2611321323273454
South Africa,,8.209968626593316
South Africa,,9.65505606913526
South Africa,,10.85265556878306
South Africa,,12.7589308811644
South Africa,,14.70961088552673
South Africa,,13.32380142449915
South Africa,,13.23392647158334
South Africa,,14.44842705483334
South Africa,,16.45910539033333
South Africa,,14.77867821391667
South Africa,,16.3558534845
South Africa,,18.4502441785
South Africa,,18.3286575505
